stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
Ram Prastha Temple,28.662479,77.320324,90,90,0.0017667844522968198,0.006111492501010776,0.000177018434930509,"Ram Prastha Temple (81 m), Ram Prastha Temple (119 m), Ramprashta Mandir (153 m), Ram Prastha Crossing (186 m), Mausam Vihar (216 m)"
Ram Prastha Crossing,28.6608,77.3202,95,95,0.003281171125694094,0.005413838221241386,0.0006880513492964391,"Ram Prastha Crossing (41 m), Ram Prastha Crossing (51 m), Ram Prastha Temple (186 m), Shreshtha Vihar (218 m), Shreshtha Vihar (231 m)"
Anand Vihar ISBT Main Road,28.647061,77.317903,88,88,0.002523977788995457,0.000390466400907878,0.00034300738593330153,"Anand Vihar ISBT Main Road (12 m), Anand Vihar ISBT Main Road (35 m), ISBT Anand Vihar (43 m), ISBT Anand Vihar (144 m), ISBT Anand Vihar (166 m)"
Maharaj Pur Check Post,28.643371,77.316656,85,85,0.0012619888944977284,8.971974504342723e-05,0.00012404473642376034,"Mahrajpur Check Post (40 m), Gazipur Depot (169 m), Gazipur Depot (178 m), Gazi Pur Depot (190 m), Gazipur Depot (190 m)"
Gazipur Depot,28.641921,77.316118,139,139,0.004038364462392731,0.008900315814483691,0.0006286942644375392,"Gazi Pur Depot (21 m), Gazipur Depot (21 m), Gazipur Depot (30 m), Gazipur Depot (74 m), TELCO Gazipur (138 m)"
TELCO Gazipur,28.64086,77.315388,31,31,0.0020191822311963654,0.00022347538213133542,0.0002237256003319239,"Gazipur Depot (64 m), Gazipur Depot (117 m), Gazi Pur Depot (117 m), Gazipur Depot (128 m), Gazipur Depot (138 m)"
Anand Vihar ISBT Terminal,28.646336,77.31499,96,96,0.0017667844522968198,0.0002660083409475554,0.0003370032425348412,"Anand Vihar ISBT Terminal (8 m), Anand Vihar ISBT Terminal (55 m), ISBT Anand Vihar Terminal (75 m), ISBT Anand Vihar (227 m), ISBT Anand Vihar main Road (232 m)"
Hamdard Nagar / Sangam Vihar,28.512167,77.248667,93,93,0.0012619888944977284,0.0069237229990327664,0.00025618793590991885,"Hamdard Nagar / Sangam Vihar (115 m), Hamdrad nagar (378 m), Hamdrad nagar (417 m), Majeedia Hospital (499 m), Majeedia Hospital (508 m)"
Majeedia Hospital,28.515017,77.252617,34,34,0.002523977788995457,0.00953487657784126,0.00039849859307428907,"Majeedia Hospital (22 m), Jamia Hamdard Library (254 m), Jamia Hamdard Library (256 m), Air Force Station (424 m), Hamdard Nagar / Sangam Vihar (449 m)"
Jamia Hamdard Library,28.5172,77.2534,15,15,0.000757193336698637,0.00016722328186014352,0.00017803738279291944,"Jamia Hamdard Library (27 m), Majeedia Hospital (254 m), Majeedia Hospital (259 m), Guru Ravi Das Ashram / Tughlaqabad Extension (271 m), Guru Ravi Das Ashram / Tughlaqabad Extension (277 m)"
